revenue_diversity_score,view_count_sum,channel,name_cc
4,34824.0,UC--HPaiKtsr5Ox2Bd7vJMKA,JillyN
2,2769.0,UC--sl3n7kaPA_ucRVoFfang,Szara Dental Lab
4,7309.0,UC-0CzRZeML8zw4pFTVDq65Q,SarahBethYoga
2,371.0,UC-0DisgeKVC4tXhidNjRTpg,Savvas Papasavva
5,692036.0,UC-0_aCN0_CSiJ6s7ryG2EtA,Beauty by Sweet Ange...
4,828694.0,UC-0aWIlsEzLTJVrc5kOpV-g,Breanne Barry
4,40860.0,UC-0d3muMfcERwnqn7CEIW-A,hindidevtuts
0,42044.0,UC-0glaRVSX-yzC-0kj4k-rA,Urdu Main Sub Kuch S...
4,6221225.0,UC-1-zPmT368J8JRbsK_1keA,TheMakeupChair
5,4018585.0,UC-1TUi3OPc2jSVWLNM2ARwg,OUTDOORS55
1,1656.0,UC-1kRvh6hdyhpqkmmiciKtw,RED STONE
4,1641031.0,UC-1rx8j9Ggp8mp4uD0ZdEIA,TheCGBros
3,15016.0,UC-27McNXi7E4Z3H1kZnTjzg,Natalie Barbu
1,92.0,UC-2MJlKSq9_pYk5-bdvMhnw,Denver7 – The Denv...
4,446828.0,UC-2PHolhimwX9q7rH0ZvVBQ,savannahandstuff
2,390359.0,UC-2Y8dQb0S6DtpxNgAKoJKA,PlayStation
4,564560.0,UC-2YHgc363EdcusLIBbgxzg,Joe Scott
1,947.0,UC-37E69bZmKA8MH-I_-defw,Forgotten Trinkets
1,482.0,UC-3XJxY4sVdB_LG2idABvig,Tech-ET
4,105852.0,UC-3e3hAUhDV2lwcoQGD2grg,Simon Sez IT
5,798980.0,UC-3jIAlnQmbbVMV6gR7K8aQ,The Majority Report ...
0,4576.0,UC-41VqjATdRAlN7ztX8S30A,Aaron Murakami
4,351817.0,UC-4G49konaVc4Zyw9SNGc4w,pinoytoygeek
3,7322.0,UC-4aNZzHNoMIATUq_j0ndcg,Awesome America
5,22812569.0,UC-5HLi3buMzdxjdTdic3Aig,The Modern Investor
0,1564.0,UC-5Yj4HIiruwkzFuLflxL_w,Natural HealthCare
4,868537.0,UC-5dIHmtQzHIdNCs7-bEdCA,Adapt 2030
1,540706.0,UC-5h2BFQIZYivmSV7TJf6LQ,TSM Channel
3,410373.0,UC-5sPs0GsU0Eu_OPaDw-wcg,Sarantos Melogia
2,1041354.0,UC-6Me5ZBxOhnfw9jc_R2jLQ,GRBlues53
